Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-03-24,225.40940856933594,226.29010647225974,216.74160696809153,217.31636631906485,235494500
2020-03-25,228.7838592529297,237.64636051460954,222.25751346528352,227.00394676538983,299430300
2020-03-26,242.14251708984375,243.6257563607291,230.87898852158833,231.3146978374292,257632800
2020-03-27,234.9301300048828,241.78094497564413,232.733052958814,234.7910798673419,224341200
2020-03-30,242.5596160888672,243.28270498192822,235.03206805059858,237.043739883395,171369500
2020-03-31,238.94422912597656,244.1170927148934,237.5258610216787,241.54920565549767,194881100
2020-04-01,228.19053649902344,238.86075940640853,226.10469973341816,229.8870187658407,189554600
2020-04-02,233.4561309814453,234.24410529958328,226.7443664639975,227.30059527896603,177660400
2020-04-03,230.08169555664062,234.8374077531059,227.3283899845276,232.46417722860392,135561200
2020-04-06,245.53541564941406,247.51929171699928,230.06315420294516,239.02761524295272,188061200
2020-04-07,245.78575134277344,254.96342792906472,245.56327112935188,254.20324947857674,201427200
2020-04-08,254.03639221191406,255.8626594271453,245.89699425018222,248.40926099192544,153774500
2020-04-09,257.9021911621094,260.68330740774974,255.37136519382474,257.32740337358933,189999200
2020-04-13,255.54747009277344,257.2624972027241,251.6075559468477,256.91949743892866,114839100
2020-04-14,263.0843505859375,264.11335008057443,255.40847040653063,260.47937380524974,134143400
2020-04-15,257.4941711425781,263.2232611331072,255.361966045859,257.3180315996459,121775000
2020-04-16,258.73651123046875,259.5986504463034,255.64020531470376,258.7828518498668,131798300
2020-04-17,265.72637939453125,266.33820002400273,261.79571617447783,264.55830161086266,146684800
2020-04-20,261.04486083984375,265.8654740739912,260.8223805736763,261.9904302620353,100109300
2020-04-21,253.1186065673828,257.7537991883525,252.17300916648384,256.5393809849361,126385700
2020-04-22,258.73651123046875,260.49787913224236,256.70629417964756,258.0412321936389,92951600
2020-04-23,258.7178955078125,263.22331738790507,258.4119852468476,260.0250232047847,104709700
2020-04-24,262.3240966796875,263.0008449983385,258.18023327607716,260.24753940411455,85063200
2020-04-27,266.10638427734375,267.2373723541989,263.85368756154054,264.3172068013833,77896600
2020-04-28,264.88275146484375,270.1390445256125,264.576812881471,269.7867653282612,105270000
2020-04-29,271.8169860839844,273.3651530287527,269.22128926212724,270.2595679908701,118745600
2020-04-30,269.28619384765625,271.9189801856044,267.53407724153976,270.42643326658214,122901700
2020-05-01,262.1572265625,269.45301506506496,260.9798695557732,264.49335340867617,125180000
2020-05-04,262.88037109375,263.1862814168892,258.7643170002029,260.2568357283572,80873200
2020-05-05,265.3091735839844,268.14590937668817,263.01010771987677,265.72635226154705,79569900
2020-05-06,263.5107727050781,267.41359803985176,263.07506334768215,267.0242575959531,73632600
2020-05-07,266.6904602050781,268.63724694186465,266.1806002865981,266.75535969753145,75250400
2020-05-08,271.1032409667969,271.5760398288929,268.711464913702,269.85173287305935,76452400
2020-05-11,271.15887451171875,272.5494328425481,268.7300371537606,269.1564671204067,79514200
2020-05-12,265.7541809082031,272.77184195230114,265.6151024786224,272.3546915364818,95870800
2020-05-13,261.0540466308594,266.2361884384899,258.6066514170751,265.18863040945206,144721100
2020-05-14,264.17822265625,264.30799336450735,253.07228871157702,258.59745979970535,121977900
2020-05-15,265.3926086425781,265.4389492560783,260.81303570623675,261.76788433031754,111146300
2020-05-18,273.4764404296875,275.09875829664327,271.3442625495084,271.66870349011685,119703800
2020-05-19,270.66748046875,274.5981153598424,270.64894988017926,272.8738370205905,95189300
2020-05-20,275.2655029296875,276.13692128139087,274.00474429630947,274.23650389429514,85861700
2020-05-21,273.3652038574219,275.9516500118487,272.26202543026767,275.1358513472998,78293900
2020-05-22,273.88433837890625,274.06047800971083,271.8263111635388,273.07781916994765,63958200
2020-05-26,277.2586364746094,280.14174065411277,273.90276194171537,279.90070161330806,88951400
2020-05-27,281.384033203125,281.421122669662,275.2099525549893,280.07690534468884,104817400
2020-05-28,280.8648986816406,284.45253370196565,280.18815028778835,282.42231681138304,90405200
2020-05-29,282.1164245605469,282.70971461847324,277.6202811980011,280.39211786365337,119090800
2020-06-01,283.256591796875,283.86844057897747,280.94827507105515,281.4674143484205,55758300
